ID,YEAR,MONTH,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
ASN00090015,2017,01,TMAX,174,153,189,204,195,229,321,207,200,198,196,263,229,176,177,263,271,181,185,165,190,233,321,184,185,185,203,202,283,234,190
ASN00090015,2017,01,TMIN,144,124,135,147,167,170,184,181,150,128,158,137,162,151,140,107,155,139,127,134,140,115,169,156,98,153,155,115,132,154,151
ASN00090015,2017,01,PRCP,4,8,0,0,0,0,0,0,0,0,0,0,14,102,0,0,0,20,0,180,0,0,0,76,0,0,0,0,0,2,16
ASN00090015,2017,01,TAVG,147,143,164,178,181,203,244,172,166,172,165,193,173,154,148,203,184,150,159,150,156,192,206,152,165,165,158,169,193,173,148
ASN00090015,2017,02,TMAX,188,200,206,223,212,175,198,328,217,212,199,163,172,200,285,191,210,163,149,168,220,336,193,187,182,204,231,265,-9999,-9999,-9999
ASN00090015,2017,02,TMIN,102,149,155,120,149,140,136,169,195,154,140,132,133,134,110,131,120,113,106,108,135,148,164,147,137,140,164,178,-9999,-9999,-9999
ASN00090015,2017,02,PRCP,0,0,0,0,0,172,0,0,0,0,0,0,12,8,0,0,0,54,46,86,2,0,0,0,0,0,0,0,-9999,-9999,-9999
ASN00090015,2017,02,TAVG,169,171,164,184,168,152,184,261,178,174,166,148,151,151,185,152,148,139,134,151,172,221,160,154,166,183,208,211,-9999,-9999,-9999
ASN00090015,2017,03,TMAX,271,240,206,208,181,215,193,231,256,196,194,210,187,266,326,196,186,256,313,224,185,195,196,216,254,281,280,191,208,156,157
ASN00090015,2017,03,TMIN,181,149,151,163,169,153,169,163,158,159,139,158,170,169,178,172,143,151,174,164,178,155,165,166,170,170,177,136,140,115,117
ASN00090015,2017,03,PRCP,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,14,2,0,0,0,22,300,2,0,0,0,0,22,0,70,4
ASN00090015,2017,03,TAVG,201,177,184,182,166,182,176,194,193,169,173,184,179,233,252,164,174,208,224,189,168,175,176,185,194,221,160,164,146,136,141
ASN00090015,2017,04,TMAX,162,166,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,04,TMIN,123,123,135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,04,PRCP,12,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,04,TAVG,141,146,160,162,199,201,224,180,130,138,141,148,154,135,126,138,141,161,201,171,166,158,150,151,134,113,132,147,134,150,-9999
ASN00090015,2017,05,TMAX,167,136,139,156,168,156,140,147,154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,05,TMIN,-9999,-9999,76,95,-9999,87,100,105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,05,PRCP,66,3,0,0,0,15,5,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
ASN00090015,2017,05,TAVG,128,114,119,119,132,124,122,127,116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
